Orbits integrated with JPL ephemerides, version jup365.bsp starting at 2.443e6 .
The synthetic times include Normally sampled noise with zero mean and 30 second standard deviation.
#body	ntrans	tt	sigtt
1.0	131.0	233.13418640987948	0.00034722222222222224
1.0	132.0	234.903708813712	0.00034722222222222224
1.0	133.0	236.67272179573774	0.00034722222222222224
1.0	134.0	238.44185122055933	0.00034722222222222224
1.0	135.0	240.2105145943351	0.00034722222222222224
1.0	136.0	241.98053539777175	0.00034722222222222224
1.0	137.0	243.749439697247	0.00034722222222222224
1.0	138.0	245.5188711285591	0.00034722222222222224
1.0	139.0	247.2878323798068	0.00034722222222222224
1.0	140.0	249.05729805957526	0.00034722222222222224
1.0	141.0	250.8263656310737	0.00034722222222222224
1.0	142.0	252.59523309394717	0.00034722222222222224
1.0	143.0	254.3647606279701	0.00034722222222222224
1.0	144.0	256.1334971864708	0.00034722222222222224
1.0	145.0	257.90339035727084	0.00034722222222222224
1.0	146.0	259.67251317668706	0.00034722222222222224
1.0	147.0	261.4409316140227	0.00034722222222222224
1.0	148.0	263.2100427309051	0.00034722222222222224
1.0	149.0	264.9797474439256	0.00034722222222222224
1.0	150.0	266.7488526334055	0.00034722222222222224
1.0	151.0	268.51779784820974	0.00034722222222222224
1.0	152.0	270.28748635109514	0.00034722222222222224
1.0	153.0	272.05660834535956	0.00034722222222222224
1.0	154.0	273.8253287454136	0.00034722222222222224
1.0	155.0	275.5949716921896	0.00034722222222222224
1.0	156.0	277.3643101803027	0.00034722222222222224
1.0	157.0	279.1327983243391	0.00034722222222222224
1.0	158.0	280.90230941027403	0.00034722222222222224
1.0	159.0	282.67166008707136	0.00034722222222222224
1.0	160.0	284.4406320648268	0.00034722222222222224
1.0	161.0	286.2092137471773	0.00034722222222222224
1.0	162.0	287.97892627539113	0.00034722222222222224
1.0	163.0	289.7474212269299	0.00034722222222222224
1.0	164.0	291.5169818601571	0.00034722222222222224
1.0	165.0	293.2860420770012	0.00034722222222222224
1.0	166.0	295.0555877960287	0.00034722222222222224
1.0	167.0	296.8247720566578	0.00034722222222222224
1.0	168.0	298.59310631034896	0.00034722222222222224
1.0	169.0	300.3630950204097	0.00034722222222222224
1.0	170.0	302.13192988885567	0.00034722222222222224
1.0	171.0	303.9008805649355	0.00034722222222222224
1.0	172.0	305.6704726316966	0.00034722222222222224
1.0	173.0	307.4386854362674	0.00034722222222222224
1.0	174.0	309.20894410973415	0.00034722222222222224
1.0	175.0	310.9771783449687	0.00034722222222222224
1.0	176.0	312.7460841848515	0.00034722222222222224
1.0	177.0	314.51593535067514	0.00034722222222222224
1.0	178.0	316.28464124910533	0.00034722222222222224
1.0	179.0	318.05449634511024	0.00034722222222222224
1.0	180.0	319.8231349159032	0.00034722222222222224
1.0	181.0	321.5924685476348	0.00034722222222222224
1.0	182.0	323.3624478178099	0.00034722222222222224
1.0	183.0	325.13108012638986	0.00034722222222222224
1.0	184.0	326.89943883148953	0.00034722222222222224
1.0	185.0	328.6690074801445	0.00034722222222222224
1.0	186.0	330.43834757991135	0.00034722222222222224
1.0	187.0	332.20728546753526	0.00034722222222222224
1.0	188.0	333.9764732788317	0.00034722222222222224
1.0	189.0	335.74532218649983	0.00034722222222222224
1.0	190.0	337.5148150054738	0.00034722222222222224
